Marca.temporal,Nome.da.praia..Concello,Tipo.de.actualización.que.nos.queres.facer.chegar,Está.avisado.o.112.,Xeolocalización,Por.onde.están.espallados.os.pellets,Quen.está.recollendo.os.pellets.,Como.estase.a.recoller.os.pellets.,Onde.se.depositan.os.pellets.,Hai.sacos.de.pellets.,Cantidade.de.pellets,Concello,Imaxe.dos.pellets.no.lugar.ou.da.xornada.de.limpeza,Data,Hora,Lugar.de.encontro,Quen.organiza.a.iniciativa,Contacto,Ligazón,Cartaz,Atopaches.animáis.mortos.,Información.adicional,Imaxes.adicionais,X.xenérica,Y.xenérica,lat,lon
2024-01-07T18:06:19Z,"Praia de Ameixenda, Cee",Hai pellets na praia,Si,"https://www.google.com/maps/place/Praia+de+Ameixenda/@42.9308634,-9.1705578,17z/data=!3m1!4b1!4m6!3m5!1s0xd2ed376a9d94aab:0xb361b66b438eea04!8m2!3d42.9308634!4d-9.1705578!16s%2Fg%2F11h4g715w_?hl=es-ES&entry=ttu",NA,Voluntarios,NA,NA,NA,,Cee,https://drive.google.com/open?id=14OtKlIyEJDqi6aXQELhuUzH08tL_U0VS,NA,NA,NA,NA,,NA,NA,NA,NA,NA,42930861,-9170535,42.9308634,-9.1705578
2024-01-07T18:12:39Z,"Praia de Doñinos, Ferrol",Hai pellets na praia,Si,"43,5014521, -8,3185873",NA,Voluntarios,"A man, botándoos nun colador e remollando en auga para limpaar a area",NA,NA,,Ferrol,https://drive.google.com/open?id=1PkhMv1C04s7nOHmb-tDvuUI2onqzYsyY,NA,NA,NA,NA,,NA,NA,NA,Avisamos polo grupo que tamén hai pellets en Penencia,NA,555004.4842,4816066.4484,43.5014521,-8.3185873
2024-01-07T18:28:37Z,"Praia de Prado, Nigrán",Hai pellets na praia,Non,"https://www.google.es/maps/place/Playa+de+Prado/@42.1592127,-8.8224231,17z/data=!3m1!4b1!4m6!3m5!1s0xd258b3b86258e93:0x6344cc409b094d25!8m2!3d42.1592088!4d-8.8198482!16s%2Fg%2F11c4drjgtt?entry=ttu",NA,Voluntarios,NA,NA,NA,,Nigrán,https://drive.google.com/open?id=1scGKWkb-8x-Dt9baPlfWz1NRa_Pa6JTq,NA,NA,NA,NA,,NA,NA,NA,NA,NA,514977,4667712,42.1592127,-8.8224231
2024-01-07T18:38:49Z,"Praia de A Lanzada, O Grove",Non hai pellets na praia,Non,"https://www.google.es/maps/place/Praia+da+Lanzada/@42.4591525,-8.8951382,16z/data=!4m10!1m2!2m1!1sLanzada,+O+Grove!3m6!1s0xd2f4180d690ccaf:0x885838b7a5faba40!8m2!3d42.4563245!4d-8.8837739!15sChBMYW56YWRhLCBPIEdyb3ZlkgESdG91cmlzdF9hdHRyYWN0aW9u4AEA!16s%2Fg%2F11t_v0slh6?entry=ttu",NA,Hai voluntarios recollendo lixo,Con coladores e luvas,NA,NA,,O Grove,https://drive.google.com/open?id=1n5PvUC35V3yWSnqDJ8H_rvjiNrOFVNwy,NA,NA,NA,NA,,NA,NA,NA,"Non vimos pellets a día 7 de xaneiro na Lanzada, pero había varios animais mortos (non sabemos se a causa dos pellets)",NA,510008.9354,4699838.8114,42.4591525,-8.8951382
2024-01-07T18:38:52Z,"Praia de Queiruga, Porto do Son",Hai pellets na praia,Non,"https://www.google.com/maps/place/Queiruga,+15998+Puerto+del+Son,+La+Coru%C3%B1a/data=!4m2!3m1!1s0xd2f2ff168e76d35:0x8e7b417220c624eb?utm_source=mstt_1&entry=gps&lucs=47068615,,47075915&g_ep=CAESCjExLjEwOS4xMDEYACDIvAcqEjQ3MDY4NjE1LCw0NzA3NTkxNUICRVM%3D",NA,"Non hai ninguén, Voluntarios",A man,NA,NA,,Porto do Son,https://drive.google.com/open?id=18RCWBFJFT8kE3uJl3BIPOnefFwIRjQpr,NA,NA,NA,NA,,NA,NA,NA,NA,NA,497345,4724570,15998,NA
2024-01-07T18:43:03Z,"Praia de Cabeiro, Porto do Son",Hai pellets na praia,Non,"42.735080571968076, -8.992122445898211",NA,Voluntarios,"Empezaremos mañá cos métodos divulgados nas redes: cepillo e recolledor, capachos con auga e coadores para separar os pellets",NA,NA,,Porto do Son,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,500716.2699,4731497.4053,42.735080571968076,-8.992122445898211
2024-01-07T18:43:31Z,Cabanas,Non hai pellets na praia,Non,"https://www.google.es/maps/place/Praia+de+Cabanas/@42.7811704,-9.0044524,17z/data=!3m1!4b1!4m6!3m5!1s0xd2f2632f1edef9b:0x6ccb3480049071c0!8m2!3d42.7811725!4d-9.0018856!16s%2Fg%2F11xl93k2z?entry=ttu",NA,Non hai ninguén,NA,NA,NA,,Muros,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,0,0,42.7811704,-9.0044524
2024-01-07T18:44:45Z,"Praia de Rons, O Grove",Xa non hai (a praia quedaba limpa cando se encheu o formulario),Si,"42,499047n 8,873673w",NA,Voluntarios,Peneirando,NA,NA,,O Grove,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,510380.9283,4705199.9228,42.499047,NA
2024-01-07T18:45:18Z,Esteiro,Hai pellets na praia,Si,"42.789797,-8.971501",NA,Voluntarios,"Como podemos. Con guantes, coladores e capachos",NA,NA,,Ribadeo,NA,NA,NA,NA,NA,,NA,NA,NA,Hai 2 gaivotas mortas. Avisamos ao 112. Tamén preguntamos onde tiñamos que tirar os pellets e demais plásticos recollidos e dixéronnos que non tiñan ningunha orde ao respecto.,NA,0,0,42.789797,-8.971501
2024-01-07T18:45:30Z,"Praia de Langaño, Porto do Son",Hai pellets na praia,Si,"42.747600,-8.955800",NA,Voluntarios,con peneiras e tinas,NA,NA,,Porto do Son,NA,NA,NA,NA,NA,,NA,NA,NA,"día 6-01-2024 as 17h, pellets dispersos, máis acumulados xunta a liña da marea. Non había moitos. Tampouco había colector á vista.",NA,503720.3496,4732896.438,42.7476,-8.9558
2024-01-07T18:46:52Z,"Praia de Orzán, A Coruña",Hai pellets na praia,Si,"https://www.google.es/maps/place/Playa+del+Orz%C3%A1n/@43.372691,-8.4060145,17z/data=!3m1!4b1!4m6!3m5!1s0xd2e7c7b90484fd5:0x91e506fc729ca63!8m2!3d43.3726871!4d-8.4034396!16s%2Fg%2F11b6xbq03d?entry=ttu",NA,Non hai ninguén,Collimos á man e deitámolo nunha bolsa no contedor amarelo,NA,NA,,A Coruña,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,548243.979,4802257.374,43.372691,-8.4060145
2024-01-07T18:47:02Z,As Pipas. O grove,Xa non hai (a praia quedaba limpa cando se encheu o formulario),Si,"https://www.google.es/maps/place/Praia+das+pipas/@42.4821434,-8.8948092,17.75z/data=!4m6!3m5!1s0xd2f41ccc6f7b39d:0xfd8c278f928d57b8!8m2!3d42.4813911!4d-8.8942571!16s%2Fg%2F11stk2lq7w?entry=ttu",NA,Voluntarios,"Barrendo, cribando e logo flotando",NA,NA,,O Grove,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,0,0,42.4821434,-8.8948092
2024-01-07T18:47:13Z,"Praia de Nerga, Cangas",Hai pellets na praia,Non,"https://www.google.es/maps/place/Playa+de+Nerga/@42.257609,-8.8432163,16z/data=!3m1!4b1!4m6!3m5!1s0xd2f5e28438be993:0x39585e9224fd3b!8m2!3d42.2581322!4d-8.8374815!16s%2Fg%2F12lkzgqcg?entry=ttu",NA,"Voluntarios, Non sei quen son","Con luvas, Coladores e un cubo  agua.",NA,NA,,Cangas,https://drive.google.com/open?id=1yOnBPnFmlqgod09VTr2qyJ9TUspDJlV2,NA,NA,NA,NA,,NA,NA,NA,No sabemos si se aviso al 112.Otra persona de los voluntarios se encargo de recoger todos os pellets.,NA,513436.836,4678432.1,42.257609,-8.8432163
2024-01-07T18:47:38Z,"Praia de Area Grande, O Grove",Xa non hai (a praia quedaba limpa cando se encheu o formulario),Non,"https://www.google.es/maps/place/Praia+de+Area+Grande/@42.4774104,-8.923211,17z/data=!3m1!4b1!4m6!3m5!1s0xd2f40d56fec7a55:0xcd3b5b6027118a53!8m2!3d42.4772078!4d-8.9211711!16s%2Fg%2F11xd7sqbm?entry=ttu",NA,Voluntarios,Método de flotación,NA,NA,,O Grove,NA,NA,NA,NA,NA,,NA,NA,NA,Retiramos aproximadamente 3 kg,NA,506528.5037,4702771.8817,42.4774104,-8.923211
2024-01-07T18:48:11Z,"Praia de As Lapas, A Coruña",Hai pellets na praia,Si,"https://www.google.es/maps/place/Playa+de+las+Lapas/@43.3838002,-8.4086411,17z/data=!3m1!4b1!4m6!3m5!1s0xd2e7c72f52a2a0f:0x5d5cd744a408c176!8m2!3d43.3837344!4d-8.4060011!16s%2Fg%2F11b6llvldd?entry=ttu",NA,Voluntarios,Coas mans e con capachos,NA,NA,,A Coruña,"https://drive.google.com/open?id=1XiLNUklKlw23e8Sx3UvGWlJTqcUIrq2v, https://drive.google.com/open?id=1KYTYjPfOur62rdvxx2jqgpy2C1fXmlkD",NA,NA,NA,NA,,NA,NA,NA,NA,NA,548101.7416,4803604.4896,43.3838002,-8.4086411
2024-01-07T18:49:51Z,"Praia de San Roque, A Coruña",Non hai pellets na praia,Non,"https://www.google.es/maps/place/Playa+de+San+Roque/@43.3723009,-8.4214778,17z/data=!3m1!4b1!4m6!3m5!1s0xd2e7c5d8e9d0069:0xa463061719fb4c76!8m2!3d43.372297!4d-8.4189029!16s%2Fg%2F11b_2p2qfm?entry=ttu",NA,NA,NA,NA,NA,,A Coruña,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,547081.6787,4802320.8606,43.3723009,-8.4214778
2024-01-07T18:50:26Z,"Praia de Nerga, Cangas",Hai pellets na praia,Non,NA,NA,Voluntarios,Cubo con agua y colador,NA,NA,,Cangas,"https://drive.google.com/open?id=11042eX9rs_oR84GUl7J-0TCVLoBeNaHG, https://drive.google.com/open?id=1AUcSAQu3H9J0KdP6Vh1d9eI9AZTIlb98",NA,NA,NA,NA,,NA,NA,NA,NA,NA,513436.836,4678432.1,42.257441549999996,-8.836407757924835
2024-01-07T18:50:42Z,"Praia de Traba, Laxe",Hai pellets na praia,Si,"https://www.google.es/maps/place/Praia+de+Traba/@43.1894116,-9.0516361,17z/data=!3m1!4b1!4m6!3m5!1s0xd2eb7262f88dbef:0x9127907555bafa83!8m2!3d43.1894005!4d-9.0493347!16s%2Fg%2F11xgr7rkb?entry=ttu",NA,"Voluntarios, protecion civil",a man e con coladores,NA,NA,,Laxe,https://drive.google.com/open?id=12q8cGI3wgieEodAjteAL6IVsETd2ABDh,NA,NA,NA,NA,,NA,NA,NA,NA,NA,496096.3083,4781897.0323,43.1894116,-9.0516361
2024-01-07T18:50:42Z,"Praia de Castro de Baroña, Porto do Son",Hai pellets na praia,Non,NA,NA,Voluntarios,NA,NA,NA,,Porto do Son,https://drive.google.com/open?id=1QY1y6CMkt5VtmJOkBmjc0vJ4DypMiipG,NA,NA,NA,NA,,NA,NA,NA,NA,NA,497459.5589,4726917.3925,42.69075545,-9.027975095150918
2024-01-07T18:51:59Z,"Praia de Lume Bo, Ferrol",Hai pellets na praia,Non,NA,NA,Voluntarios,"Con coladores de cocina, recogiendo todo el plástico en bolsas de basura y depositandolas en los contenedores.",NA,NA,,Ferrol,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,554617.3292,4814754.4693,43.4846862,-8.233162
2024-01-07T18:52:35Z,"Praia de Caldebarcos - San Mamede, Carnota",Hai pellets na praia,Non,"https://www.google.com/maps/place/Praia+de+Caldebarcos,+15295+Carnota,+La+Coru%C3%B1a/data=!4m2!3m1!1s0xd2ed5cb42e0e371:0x106ad2a92a1b326f?utm_source=mstt_1&entry=gps&lucs=47068615,,47075915&g_ep=CAESCTExLjk5LjUwMBgAINeCAyoSNDcwNjg2MTUsLDQ3MDc1OTE1QgJFUw%3D%3D",NA,Non hai ninguén,Á man os que vimos. Non estabamos preparados,NA,NA,,Carnota,"https://drive.google.com/open?id=1Fb8-DmGCNmfEKb9BajnSHuVqqMQ_7oFs, https://drive.google.com/open?id=1J3wmJjLSDVemvOZIsp37DltMmQslPo9g",NA,NA,NA,NA,,NA,NA,NA,"Están bastante dispersas e non se ven con facilidade. Atópanse sobre todo nas liñas que deixa a marea ao baixar, nas algas",NA,490155.664,4743935.1742,15295,NA
2024-01-07T18:57:45Z,"Praia de Nerga, Cangas",Hai pellets na praia,Non,"https://www.google.com/maps?q=Playa+de+Nerga,+36945&ftid=0xd2f5e28438be993:0x39585e9224fd3b&hl=es-ES&gl=es&entry=gps&lucs=,47071704,47069508,47084304&g_ep=CAISDDYuOTYuMS4zMDU4MBgAIMi8ByobLDQ3MDcxNzA0LDQ3MDY5NTA4LDQ3MDg0MzA0QgJFUw%3D%3D&g_st=ic",NA,Voluntarios,Un a un,NA,NA,,Cangas,NA,NA,NA,NA,NA,,NA,NA,NA,Había poucos pero hai,NA,513436.836,4678432.1,36945,NA
2024-01-07T19:04:37Z,Porto do son,Hai pellets na praia,Si,"https://www.google.com/maps/place/42.673759,-9.033055/data=!4m6!3m5!1s0!7e2!8m2!3d42.6737586!4d-9.033055?utm_source=mstt_1&entry=gps&lucs=47068615,,47075915&g_ep=CAESCjExLjEwOS4xMDEYACDXggMqEjQ3MDY4NjE1LCw0NzA3NTkxNUICRVM%3D",NA,"Non sei quen son, Personas voluntarias,a última hora","Filtrando los con un frutero y coladores de pasta y apartando los palos,algas y otros materiales biologicos",NA,NA,,Porto do Son,NA,NA,NA,NA,NA,,NA,NA,NA,Está muy llena de pellets al final del día quedaba menos obviamente porque había bastante gente pero era una barbaridad aquello cuando llegamos y las zonas que parecían limpias estaban perdidas igualmente,NA,0,0,42.673759,-9.033055
2024-01-07T19:07:49Z,"Praia de Castiñeira, O Grove",Hai pellets na praia,Non,"(42.4711884, -8.9358325)",NA,Voluntarios,Cas mans,NA,NA,,O Grove,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,505298.6009,4702133.9587,42.4711884,-8.9358325
2024-01-07T19:12:37Z,"Praia de Queiruga, Porto do Son",Hai pellets na praia,Si,NA,NA,Voluntarios,Peneiras e cubos con auga. As plumas de aves axudan a recoller modo escoba,NA,NA,,Porto do Son,"https://drive.google.com/open?id=11H-YmEd1pRiAVoiyzHYfqkFcu-pvDq1F, https://drive.google.com/open?id=1VHii_lwVgi_Vsy9JCGqG_FqWH8TCqYrE",NA,NA,NA,NA,,NA,NA,NA,"Ninguen se facia cargo dos residuos cando chamamos. Proteccion Civil Porto do Son non atenderon aontelefono. Penso que as manchas negras é cousa simplemente chapapote de cando o Prestige, non dos Pellets",NA,497345,4724570,42.675955200000004,-9.030806376224664
2024-01-07T19:20:00Z,Miño,Non hai pellets na praia,Non,NA,NA,Non hai ninguén,NA,NA,NA,,Miño,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,0,0,43.3580564,-8.1811287
2024-01-07T19:28:52Z,"Praia de Mogor, Marín",Non hai pellets na praia,Non,"42,3850396, -8,7204566",NA,NA,NA,NA,NA,,Marín,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,523018.5202,4692592.7259,42.3850396,-8.7204566
2024-01-07T19:42:23Z,"Praia de Vilar, Ferrol",Hai pellets na praia,Si,NA,NA,Voluntarios,"Con una coladores, habia moita xente, pero é necesario acudir dias e dias",NA,NA,,Ferrol,https://drive.google.com/open?id=1fGoginDd4KB-3zfv1VrWFrDkuz2MWUgb,NA,NA,NA,NA,,NA,NA,NA,NA,NA,556426.5794,4821275.4029,42.63308605,-8.76133644172372
2024-01-07T19:53:48Z,"Praia de Carrizo, Valdoviño",Hai pellets na praia,Si,NA,NA,"Non hai ninguén, Yo",Usando bolsas,NA,NA,,Valdoviño,"https://drive.google.com/open?id=1MQGkkbTmbigHzpvh3v5x0o65FBTP7SVZ, https://drive.google.com/open?id=1R668QzdQy2Y5_EaXUsDUquBuw7nzGEVZ",NA,NA,NA,NA,,NA,NA,NA,NA,NA,571868.9266,4832615.7572,43.642950549999995,-8.108953485058889
2024-01-07T20:27:36Z,"Praia de Mera, Oleiros",Hai pellets na praia,Non,NA,NA,Voluntarios,"Guantes, peneiras, capachos",Non hai contedores específicos,NA,,Oleiros,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,553615.5847,4803202.8641,43.3795321,-8.338116729777408
2024-01-07T21:07:21Z,"Praia do Vilar, Ribeira",Hai pellets na praia,Si,"https://www.google.com/maps/place/Playa+del+Vilar/@42.552434,-9.0504904,14z/data=!3m1!4b1!4m6!3m5!1s0xd2f3773e6a0f46d:0xdac45574802754b9!8m2!3d42.5524048!4d-9.0298907!16s%2Fg%2F11bw4wp001?entry=ttu",NA,Voluntarios,"Colador de cocina, capachos con agua y guantes",Non hai contedores específicos,NA,,Ribeira,"https://drive.google.com/open?id=16gVZzTB9VPfo9pNNbFUj75DSA2MvCGP3, https://drive.google.com/open?id=1Id1HYPNKUj4ZjDRrhDb08uDJrXK_Y2N-, https://drive.google.com/open?id=1iZGJdWVnGGj62G5_jSuEOqx33-T3qm0P",NA,NA,NA,NA,,NA,NA,NA,"Los pellets estaban en diferentes puntos y dispersos, sobretodo se encontraban en la zona de cabeza de la marea. Además de Pellets encontramos y recogimos más basura. Las algas enredan mucho a los pellets. Por otro lado, decir que a la luz del sol y con la claridad son difíciles de ver bien, si proyectábamos sombra sobre la arena enseguida los localizábamos.
El utensilio que mejor nos funcionó fue el colador de cocina que adjunto en las fotos.",NA,496873,4712411,42.552434,-9.0504904
2024-01-07T21:10:11Z,"Praia de Vilar, Ferrol",Hai pellets na praia,Si,"https://www.google.com/maps/place/Playa+El+Vilar/@43.4953382,-8.3200304,15z/data=!4m6!3m5!1s0xd2dd9dc7af1a397:0x1d2ee9ea98ea4c5d!8m2!3d43.5424946!4d-8.3012032!16s%2Fg%2F11c12p9lkt?entry=ttu",NA,Voluntarios,con colador de cocina y guantes,Non hai contedores específicos,NA,,Ferrol,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,556426.5794,4821275.4029,43.4953382,-8.3200304
2024-01-07T21:13:20Z,"Praia de Doñinos, Ferrol",Hai pellets na praia,Si,"https://www.google.com/maps/place/Praia+de+Doni%C3%B1os,+Ferrol,+A+Coru%C3%B1a/data=!4m2!3m1!1s0xd2dd7e6dfbff2fd:0x7592293b12632eb1?utm_source=mstt_1&entry=gps&lucs=47068615,,47075915&g_ep=CAESCjExLjEwOS4xMDEYACDXggMqEjQ3MDY4NjE1LCw0NzA3NTkxNUICRVM%3D",NA,NA,"Algúns a man, outroa peneirando",Nos poucos contenedores que hai no parking da praia,NA,,Ferrol,https://drive.google.com/open?id=10kGYFO7Q8UcUlroyYXi7SC2of90jRqfb,NA,NA,NA,NA,,NA,NA,NA,Moitos están misturados coas algas,NA,555004.4842,4816066.4484,NA,NA
2024-01-07T21:14:54Z,"Espiñeiro, Cambados (O columpio de Cambados en Google Maps)",Non hai pellets na praia,Non,"https://www.google.com/maps?q=Columpio+de+Cambados,+36630+Cambados,+Pontevedra&ftid=0xd2f6b819b22fb29:0xbc3c47a86dd62e56&hl=es-ES&gl=es&coh=199384&entry=gps&lucs=,47087022,47071704,47069508,47084304&g_ep=CAISDDYuOTYuMS4zMDU4MBgAIJ6dCiokLDQ3MDg3MDIyLDQ3MDcxNzA0LDQ3MDY5NTA4LDQ3MDg0MzA0QgJFUw%3D%3D&g_st=ic",NA,Fun comprobar o estado da zona,-,Non coñezo o método de recollida do concello,NA,,Cambados,NA,NA,NA,NA,NA,,NA,NA,NA,"Preocúpame a zona do “Serrido”, na seca que mariscan, porque é unha zona de lodos e non se vai ver a magnitud",NA,0,0,36630,NA
2024-01-07T21:17:52Z,"Praia do Porto, Ferrol",Non hai pellets na praia,Non,NA,NA,NA,NA,Non hai contedores específicos,NA,,Ferrol,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,556247.1161,4823225.7671,43.6979367,-7.439489439120221
2024-01-07T21:29:21Z,"Praia de Aguete, Marín",Non hai pellets na praia,Non,"42,3757941, -8,7305357",NA,NA,NA,NA,NA,,Marín,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,522095.838,4691374.9111,42.3757941,-8.7305357
2024-01-07T21:41:31Z,"Praia de Chanteiro, Ares",Hai pellets na praia,Si,"43,44566° N, 8,30260° O",NA,Os meus amigos e eu,Coladores,"Non hai contedores específicos, Os deixamos na saida da praia",NA,,Ares,NA,NA,NA,NA,NA,,NA,NA,NA,Atopamos dous sacos de pellets e un delfin morto,NA,556428.5522,4810556.099,NA,NA
2024-01-07T21:44:07Z,"Praia de Samil, Vigo",Non hai pellets na praia,Non,Vigo playa tombo do gato y samil,NA,Voluntarios,NA,NA,NA,,Vigo,NA,NA,NA,NA,NA,,NA,NA,NA,Nos reunimos para juntar. Pero no había.,NA,518480.3799,4673133.8207,42.210533600000005,-8.77617730373661
2024-01-07T21:44:48Z,"Praia de Queiruga, Porto do Son",Hai pellets na praia,Non,Non teño coordenadas. Xa non estou na praia,NA,Voluntarios,Cun cepillo suavemente e un cribo,"Non hai contedores específicos, Viñeron recollelos cunha camioneta",NA,,Porto do Son,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,497345,4724570,42.675955200000004,-9.030806376224664
2024-01-07T21:57:18Z,"Praia de Valcovo, Arteixo",Hai pellets na praia,Non,"https://www.google.com/maps/place/Praia+de+Valcovo,+Arteijo,+La+Coru%C3%B1a/data=!4m2!3m1!1s0xd2e8883b6ce5b89:0x22cbbe6f5d599b30?utm_source=mstt_1&entry=gps&g_ep=CAESCjExLjEwOS4xMDEYACDXggMqGzQ3MDY4NjE1LCw0NzA3NTkxNSw0NzA4NDM4N0ICRVM%3D",NA,Voluntarios,Cun capacho con auga e escuerridores.,Non hai contedores específicos,NA,,Arteixo,NA,NA,NA,NA,NA,,NA,NA,NA,Había un golfiño morto.,NA,537855.7765,4795980.0294,NA,NA
2024-01-07T21:59:49Z,"Praia de Aréa da Secada, Illa de Arousa",Non hai pellets na praia,Si,"42º 34' 4,062"" N 8º 53' 13,859"" W",NA,Voluntarios,coadores,Non hai contedores específicos,NA,,Illa de Arousa,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,509129.7773,4712788.1013,42,NA
